new entry "Summon_Quest_SummonNewt"
type "SkillData"
data "SkillType" "Summon"
data "ForGameMaster" "Yes"
data "Ability" "Summoning"
data "ActionPoints" "2"
data "Cooldown" "6"
data "AIFlags" "CanNotUse"
data "Lifetime" "5"
data "SummonLevel" "-1"
data "Memory Cost" "2"
data "Magic Cost" "0"
data "Template" "1918aa0e-862e-4f53-8656-7f579658222a"
data "TargetRadius" "13"
data "SummonCount" "1"
data "Icon" "Skill_Summoning_SummonNewt"
data "DisplayName" "Summon_Quest_SummonNewt_DisplayName"
data "DisplayNameRef" "| Summon Newt |"
data "Description" "Summon_Quest_SummonNewt_Description"
data "DescriptionRef" "|Summons a Newt that helps you in combat |"
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_totem_01_start"
data "PrepareAnimationLoop" "skill_prepare_totem_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Totem_Prepare_Totem_Root_01,KeepRot;RS3_FX_Skills_Totem_Prepare_Totem_Dragon_Young_01:Dummy_OverheadFX;RS3_FX_Skills_Totem_Prepare_Totem_Dummy_01:Dummy_OverheadFX;RS3_FX_Skills_Totem_Prepare_Totem_Hand_01:Dummy_R_HandFX;RS3_FX_Skills_Totem_Prepare_Totem_Hand_01:Dummy_L_HandFX"
data "CastAnimation" "skill_cast_summon_totem_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Totem_Cast_Self_Totem_Root_01:Dummy_Root;RS3_FX_Skills_Totem_Cast_Self_Totem_Dummy_01:Dummy_OverheadFX;RS3_FX_Skills_Totem_Cast_Self_Totem_Dragon_Young_01:Dummy_OverheadFX;RS3_FX_Skills_Totem_Cast_Self_Totem_Root_TextKey_01:Dummy_Root:cast"
data "CastEffectTextEvent" "cast"
data "TargetCastEffect" "RS3_FX_Skills_Totem_Impact_Summon_Ancestral_01"
data "TargetEffect" "RS3_FX_Skills_Totem_Target_Ancestral_01"
data "AiCalculationSkillOverride" "Target_DummyTargetSkill"

