new entry "MultiStrike_BullRushBlitz"
type "SkillData"
data "SkillType" "MultiStrike"
data "ForGameMaster" "No"
data "Ability" "Polymorph"
data "Tier" "Master"
data "ActionPoints" "1"
data "Cooldown" "3"
data "Damage Multiplier" "125"
data "TargetRadius" "8"
data "AreaRadius" "13"
data "DeathType" "Physical"
data "MaxAttacks" "5"
data "NextAttackChance" "100"
data "NextAttackChanceDivider" "1"
data "EndPosRadius" "0"
data "JumpDelay" "300"
data "TargetConditions" "Character;NonSelf;Enemy;!Tagged:BLOCK_FORK"
data "UseWeaponDamage" "Yes"
data "UseWeaponProperties" "Yes"
data "Icon" "Skill_Polymorph_Bull_Rush_Blitz"
data "DisplayName" "MultiStrike_BullRushBlitz_DisplayName"
data "DisplayNameRef" "Bull Rush Blitz"
data "Description" "MultiStrike_BullRushBlitz_Description"
data "DescriptionRef" "Charge forward hitting up to [1] enemies dealing [2] per hit in an area of [3]."
data "StatsDescriptionParams" "MaxAttacks;Damage;AreaRadius"
data "PrepareAnimationInit" "skill_prepare_rush_01_start"
data "PrepareAnimationLoop" "skill_prepare_rush_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Totem_Prepare_Rush_Root_01:root"
data "CastAnimation" "skill_cast_rush_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Totem_Cast_Rush_Body_01:Dummy_CastFX;RS3_FX_Skills_Totem_Cast_Rush_Root_01:root"
data "MaleImpactEffects" "RS3_FX_GP_Impacts_Meteor_01"
data "FemaleImpactEffects" "RS3_FX_GP_Impacts_Meteor_01"
data "ReappearEffect" "RS3_FX_Skills_Air_Wind_Landing_01"
data "Memory Cost" "0"
data "Magic Cost" "0"
data "OverrideMinAP" "Yes"
data "SkillProperties" "BLEEDING,100,2;WEAK,100,1"
data "IsEnemySkill" "Yes"
data "DamageType" "Piercing"

