new entry "Quake_Incarnate_Earthquake"
type "SkillData"
data "SkillType" "Quake"
data "Ability" "Earth"
data "Tier" "Adept"
data "ActionPoints" "3"
data "Cooldown" "5"
data "Damage Multiplier" "100"
data "Damage Range" "10"
data "DamageType" "Earth"
data "SkillProperties" "KNOCKED_DOWN,100,1"
data "TotalSurfaceCells" "50"
data "AreaRadius" "13"
data "TargetConditions" "Enemy|Item"
data "OverrideSkillLevel" "No"
data "SurfaceMinSpawnRadius" "4000"
data "DeathType" "DoT"
data "ShockWaveDuration" "1000"
data "MinSurfaces" "8"
data "MaxSurfaces" "8"
data "SurfaceType" "Oil"
data "SurfaceGrowStep" "1"
data "SurfaceGrowInterval" "10"
data "SurfaceStatusChance" "100"
data "Icon" "Skill_Earth_Earthquake"
data "DisplayName" "Quake_Incarnate_Earthquake_DisplayName"
data "DisplayNameRef" "Earthquake"
data "Description" "Quake_Incarnate_Earthquake_Description"
data "DescriptionRef" "|Deal  [1] damage and Knock Down enemy characters in the area around you. Creates [2] oil surfaces randomly in the radius.|"
data "StatsDescriptionParams" "Damage;MinSurfaces"
data "FXScale" "100"
data "CastEffect" "RS3_FX_Skills_Earth_Cast_Shout_Earthquake_Root_01:Dummy_Root:cast;RS3_FX_Skills_Earth_Cast_Shout_Earthquake_Root_02:Dummy_Root:cast"
data "ForGameMaster" "No"
data "IsEnemySkill" "Yes"

