new entry "PROTECTION_CIRCLE_SMALL"
type "StatusData"
data "StatusType" "HEALING"
data "ForGameMaster" "No"
data "InitiateCombat" "No"
data "BringIntoCombat" "No"
data "DisplayName" "PROTECTION_CIRCLE_DisplayName"
data "DisplayNameRef" "|Circle of Protection|"
data "Description" "PROTECTION_CIRCLE_Description"
data "DescriptionRef" "|Restoring [1] Physical Armour and [1] Magic Armour each turn.|"
data "DescriptionParams" "HealAmount"
data "Icon" "Skill_Summoning_CircleOfProtection"
data "FormatColor" "Healing"
data "StatsId" "Stats_ProtectionCircle"
data "HealingEvent" "OnTurn"
data "HealStat" "AllArmor"
data "HealType" "Qualifier"
data "HealValue" "10"
data "SkipInitialEffect" "No"
