new entry "SLEEPING_PIERCE"
type "StatusData"
data "StatusType" "INCAPACITATED"
data "ForGameMaster" "Yes"
data "InitiateCombat" "Yes"
data "DisplayName" "SLEEPING_PIERCE_DisplayName"
data "DisplayNameRef" "Sleeping"
data "Description" "SLEEPING_PIERCE_Description"
data "DescriptionRef" "|Character cannot move or cast spells. This status can be broken by damage. Cured by Clear-Minded, Enraged.|"
data "Icon" "statIcons_Sleeping"
data "FormatColor" "Air"
data "StatusEffect" "RS3_FX_GP_Status_Sleeping_01:Dummy_OverheadFX"
data "SavingThrow" "None"
data "ImmuneFlag" "SleepingImmunity"
data "StatsId" "Stats_Sleeping"
data "FreezeTime" "0"
data "StackId" "Stack_Sleeping"

