new entry "ENRAGEDTRIGGER"
type "StatusData"
data "StatusType" "MUTED"
data "ForGameMaster" "Yes"
data "InitiateCombat" "Yes"
data "DisplayName" "ENRAGEDTRIGGER_DisplayName"
data "DisplayNameRef" "Enraged"
data "Description" "ENRAGEDTRIGGER_Description"
data "DescriptionRef" "Character is enraged."
data "Icon" "statIcons_Raged"
data "FormatColor" "Orange"
data "StatusEffect" "RS3_FX_GP_Status_Enraged_01:Dummy_StatusFX"
data "MaterialType" "FadingOverlay"
data "MaterialApplyBody" "Yes"
data "MaterialApplyArmor" "Yes"
data "MaterialApplyWeapon" "Yes"
data "MaterialApplyNormalMap" "Yes"
data "MaterialFadeAmount" "3000"
data "ImmuneFlag" "EnragedImmunity"
data "StatsId" "Stats_Enraged"
data "StackId" "Stack_Enraged"

