new entry "Target_LX_GladiatorHit"
type "SkillData"
data "SkillType" "Target"
data "ForGameMaster" "Yes"
data "Ability" "Warrior"
data "Tier" "Starter"
data "ActionPoints" "0"
data "Cooldown" "0"
data "Damage Multiplier" "100"
data "TargetRadius" "999"
data "AreaRadius" "0"
data "AddWeaponRange" "Yes"
data "IsMelee" "Yes"
data "DeathType" "Physical"
data "CanTargetCharacters" "Yes"
data "CanTargetItems" "No"
data "CanTargetTerrain" "No"
data "TargetConditions" "Character;NonSelf"
data "UseCharacterStats" "Yes"
data "UseWeaponDamage" "Yes"
data "UseWeaponProperties" "Yes"
data "Icon" "Skill_Warrior_CripplingBlow"
data "DisplayName" "Gladiator"
data "DisplayNameRef" "Gladiator"
data "Description" "Target_CripplingBlow_Description"
data "DescriptionRef" "Cripple the target and all enemies around it. Deals [1] weapon damage."
data "StatsDescription" "Target_CripplingBlow_StatsDescription"
data "StatsDescriptionRef" "|Crippled status prevents target from walking or running.|"
data "StatsDescriptionParams" "Damage"
data "FXScale" "100"
data "PrepareAnimationInit" "noprepare"
data "PrepareAnimationLoop" "noprepare"
data "CastAnimation" "skill_attack_projectile_01_cast"
data "CastSelfAnimation" "skill_attack_projectile_01_cast"
data "TargetEffect" "RS3_FX_Items_Weapons_Impact_Weapon_Flurry_Root_01:root:cast"
data "CastTextEvent" "cast"
data "CycleConditions" "Enemy;!Dead"
